name,ra,dec,redshift
SN 2005dg,228.62033,-47.1003,
SN 1923A,314.62166,31.98082,
SN 1957D,314.60368,32.00766,
SN 2004fa,13.04183,-31.72271,
SN 2001bb,316.19481,31.72579,
SN 2004cb,316.30568,31.7583,
SN 1990ac,227.75585,-50.22148,
SN 2003lz,242.13171,-8.11618,
SN 2007cj,263.92648,19.97628,
SN 2009au,305.0964,33.23466,
SN 2011fh,304.18128,33.36156,
SN 1991bf,19.39873,-76.77684,
SN 2001io,330.47381,-87.38893,0.19
SN 2007uz,280.27646,29.45174,
SN 2007ch,343.29522,19.17749,
SN 2010kx,21.10367,-70.59268,
SN 2010as,343.30006,19.17494,
SN 2008fp,241.87994,-7.96098,
SN 1998ch,312.74294,32.86014,
SN 1971C,286.98084,31.6608,
SN 2008cq,325.45934,29.66579,
SN 1996aj,312.72704,32.92026,0.11
SN 1998ck,260.33752,17.62011,
SN 1983C,288.14792,32.15658,
SN 1982A,289.12488,32.4107,
SN 2014dq,20.85694,-57.38949,
SN 2009ip,20.90248,-57.35828,
SN 2004ev,9.30178,-18.61043,
SN 2008hg,225.18945,-79.05848,
SN 2003bu,320.70503,31.60051,
SN 1997cm,303.5081,34.05584,
SN 2013gp,224.9716,-55.77577,0.236
SN 1999ei,224.90701,-80.49854,
SN 2010ih,239.89816,-10.3683,
SN 2013go,224.49599,-55.56185,
SN 1994ab,18.3542,-42.9231,
SN 2012dn,14.85799,-31.51992,
SN 2009kw,224.64468,-53.21004,0.24
SN 2000P,307.13887,34.50914,
SN 1999gt,224.06131,-54.54488,0.274
SN 2009ku,223.90857,-55.0412,
SN 2012gt,224.07988,-54.32927,0.491
SN 2011bf,318.1222,33.1,
SN 2013gc,246.27619,2.31813,
SN 2013ak,246.26211,2.30447,
SN 2012dh,308.22256,34.65997,
SN 1985C,269.30406,25.73346,
SN 2003br,329.14056,29.57318,
SN 1993ah,25.87585,-76.77085,
SN 2003lt,223.79621,-54.40162,
SN 1962D,269.12672,25.73045,
SN 2003aj,223.77557,-54.39418,1.307
SN 2003lu,223.76561,-54.42388,
SN 1984C,315.45572,33.808,
SN 2003ak,223.76988,-54.38413,1.551
SN 2004gi,270.38996,26.49008,
SN 2009ky,223.85566,-54.01227,0.26
SN 2002fz,223.75644,-54.37686,
